gene,avg_logFC,p_val_adj,gene_set,scores,p_val
ZNF750,1.2512221,0.0001320781749285,Other,4.006933,6.151221453323742e-05
SEMA5A,-1.2493243,5.3712009085061e-13,Other,-7.449533,9.367114487616485e-14
PIGR,1.2485645,0.0033017498166998,Other,3.107956,0.0018838612865444
SOX4,1.2416656,5.526556923588998e-32,Other,12.044978,2.0613165944838e-33
C1orf116,1.237407,1.421427283693224e-05,Other,4.530329,5.889179572559628e-06
POLA2,1.2310319,6.56654289452969e-08,Other,5.6161356,1.952752171256309e-08
EN2,1.22569,7.727722123614004e-09,Other,5.98842,2.118891550023194e-09
ERMP1,1.2212701,7.767143179927189e-13,Other,7.39843,1.3780415319225657e-13
ERO1A,-1.2202226,9.9122168378454e-15,Other,-7.9786987,1.4788388024204832e-15
ZDHHC2,1.2090169,1.7796444324325274e-13,Other,7.5992713,2.978034030078624e-14
CDK18,-1.2027339,8.350808007550455e-07,Other,-5.129556,2.90426286552914e-07
FGGY,1.1997828,0.0003061894102519,Other,3.79208,0.0001493908009696
CDH6,-1.1940448,0.0054783429404281,EMT_hallmark,-2.9417331,0.00326381116713
HOXA7,-1.1928872,3.457415087769935e-07,Other,-5.303472,1.1362069744082649e-07
E2F7,1.1886697,0.0484466724510729,Other,2.1336975,0.0328675509673105
CITED2,1.1859547,2.847000799588332e-14,Other,7.8415995,4.4484387493567695e-15
FAM20A,-1.1746113,9.534549664490916e-07,Other,-5.1029053,3.344781535527056e-07
TRDJ1,1.1724643,1.1912189754735363e-11,Other,7.0110345,2.3656263928254706e-12
SMS,1.1644491,4.99113610220465e-13,Other,7.4599733,8.653985983661286e-14
FAN1,1.1620903,7.727722123614004e-09,Other,5.98897,2.111745997591086e-09
KIF22,1.1588672,2.397353496337236e-06,Other,4.913604,8.941741871419125e-07
SORCS3,1.1584909,0.0014278868576846,Other,3.3612742,0.0007758377180362
TMEM9,1.1446784,2.603287119090507e-23,Other,10.203338,1.9157254001371674e-24
DECR1,1.1440613,2.6516431493226207e-12,Other,7.2253385,4.998561178662599e-13
FZD3,1.1431615,8.731057362700034e-08,Other,5.5620103,2.6668451420343848e-08
GOLT1A,1.1422919,1.1493471488679132e-06,Other,5.0652647,4.078328592757112e-07
GDA,-1.1415974,3.587460453616658e-06,Other,-4.8287063,1.3742288027967035e-06
ANOS1,1.1401067,1.2972935829217318e-06,Other,5.039988,4.655610035485247e-07
LYPD3,1.1384865,0.0003908087620509,Other,3.726415,0.0001942224996886
SAMM50,1.13458,2.1799858248404267e-12,Other,7.2533627,4.0654977580189414e-13
PPM1H,1.1322898,9.905267880417453e-09,Other,5.946109,2.745915995075403e-09
GJA1,1.129097,2.698417606271463e-15,EMT_hallmark,8.138602,3.9986631867127533e-16
SLC6A14,1.1270442,0.0004233971406247,Other,3.703611,0.0002125521935797
FAM171B,1.1259222,6.782010647774439e-13,Other,7.417937,1.1895865450733392e-13
CRISPLD1,1.1242931,7.956222643168914e-06,Other,4.657538,3.200133905871368e-06
ATPAF1,1.1229073,4.910540668974491e-10,Other,6.4434037,1.1682334656028026e-10
AP1M2,1.1156291,4.952198898892121e-10,Other,6.4414806,1.1831362288683798e-10
MAPK15,-1.1130463,5.757091303610954e-06,Other,-4.727324,2.2749796280398123e-06
ZRANB3,1.1101215,5.309541639112591e-05,Other,4.2267323,2.3710957118214496e-05
LRRC75B,1.1090615,3.556701429455637e-08,Other,5.724112,1.0397615065948941e-08
BCAS3,1.1034546,1.8626593227403817e-08,Other,5.8370337,5.313836575962984e-09
HOXD9,1.1034037,7.18955477456762e-14,Other,7.719611,1.1668531438562367e-14
UGGT1,1.0974225,1.4234438857637469e-11,Other,6.9846587,2.8554973111591295e-12
LRATD1,1.0937895,2.3514792265086187e-12,Other,7.2423725,4.4090235497036605e-13
SAA2,1.0896018,1.7671245546786433e-05,Other,4.479501,7.481777348437804e-06
CFB,-1.0892601,1.4923689007522562e-15,Other,-8.213334,2.15129791136666e-16
PPARG,1.0890533,7.244044877544769e-11,Other,6.737934,1.6065422107458157e-11
APCDD1,1.086809,1.619728372909097e-12,Other,7.295674,2.9716790712646737e-13
KLHDC9,1.084154,1.4907278543517605e-08,Other,5.8752236,4.2227270874278695e-09
TKFC,1.0768818,4.257523885406807e-10,Other,6.465658,1.0085868075308463e-10
ETS2,1.0768534,1.8144467737571004e-11,Other,6.9483914,3.694740406239257e-12
TGM2,-1.0765474,6.885527107325017e-08,EMT_hallmark,-5.6073437,2.0545524433147233e-08
RNF144B,1.0759133,1.0134648109738268e-14,Other,7.975127,1.5222404922893165e-15
RAB25,1.0742837,1.4823759727221649e-15,Other,8.214983,2.1219494770821318e-16
FRAS1,1.0701613,3.0800630991491935e-08,Other,5.749664,8.942118674949272e-09
ANKZF1,-1.0696384,1.8784406522949666e-07,Other,-5.422713,5.8701270384217716e-08
HHAT,1.0640337,5.980606090431455e-08,Other,5.633445,1.7664491779197744e-08
EMID1,1.0635507,6.01937202745545e-10,Other,6.4098845,1.456299684061803e-10
SAPCD2,1.0621507,6.53672277573224e-08,Other,5.6175094,1.9372948549045146e-08
TMEM238,1.0619175,2.9642986062060097e-11,Other,6.8753085,6.1855827770629436e-12
SPON1,1.0609794,1.961734196250338e-09,Other,6.2183847,5.022988768624856e-10
EPPK1,1.0595785,5.958025576142331e-10,Other,6.4120827,1.4354517265100982e-10
DHX9,1.0592159,3.8389424546338196e-11,Other,6.836294,8.126793502753047e-12
GSTZ1,1.0565828,4.084926692952949e-06,Other,4.800682,1.581261945659206e-06
SRD5A3,1.0484209,2.509419959572839e-08,Other,5.785381,7.234819641510401e-09
NENF,1.0476362,7.759628887190724e-14,Other,7.707522,1.2828418724791112e-14
EFHD1,1.0474874,3.874361849956546e-09,Other,6.1057377,1.0232689563393296e-09
HIST1H4E,1.0418289,3.7273968455089286e-18,Other,8.935373,4.058053017287946e-19
NCMAP,1.0382466,1.935465219971683e-07,Other,5.413646,6.17541669541977e-08
ITGA6,1.0374045,4.636046369239725e-09,Other,6.0757904,1.2337865337492815e-09
PRAME,1.036054,1.296080000616244e-17,Other,8.789482,1.5025120974885891e-18
PHYHD1,1.0316364,3.448653858575956e-09,Other,6.1255198,9.038810516428918e-10
UBE2E3,1.0200626,3.4215875554989417e-14,Other,7.816872,5.41521417553764e-15
SH3YL1,1.0191684,1.9572286586797908e-11,Other,6.9368525,4.009328016380104e-12
IL17RD,1.0188005,6.036825700088666e-07,Other,5.1949463,2.047790358068951e-07
MTFR1,1.0169259,3.410815352797525e-08,Other,5.731805,9.93675037256537e-09
CXCL14,-1.0146264,2.2886357183735087e-06,Other,-4.9232197,8.513171170159522e-07
CES3,1.0144187,3.4524212340898765e-07,Other,5.304296,1.1310855857653328e-07
ERVMER34-1,1.0143968,6.822066824859754e-07,Other,5.169669,2.345085471045541e-07
NET1,1.012351,1.6577710316215258e-15,Other,8.199871,2.406441820095764e-16
RFX5,1.0110464,1.5509070756604539e-10,Other,6.6230893,3.517682379270183e-11
TMX4,1.006644,5.7751098405916986e-11,Other,6.7714534,1.2749486442435304e-11
SLC20A2,1.0041213,6.0230699057336995e-09,Other,6.0318303,1.6211286943859855e-09
IGSF9,0.99704283,4.642337279739499e-09,Other,6.074966,1.240140503156217e-09
ERP29,0.9963023,5.4278112755287115e-21,Other,9.653292,4.760278033981836e-22
DDIT4,-0.9878412,1.389953616885895e-09,Other,-6.2747083,3.5029073006196956e-10
SVBP,0.98612356,8.721677206591131e-08,Other,5.5639334,2.6376039939287696e-08
PDE7A,-0.97989815,1.8921618299946057e-07,Other,-5.4196906,5.970228354720885e-08
SMPDL3B,-0.9796207,0.0054783429404281,Other,-2.9420078,0.0032609168065481
ADAMTS1,-0.97781,2.86796315422756e-08,Other,-5.762302,8.297433722412397e-09
THYN1,0.9661452,8.138527748206336e-08,Other,5.576572,2.4530441499129983e-08
MCCC2,0.96309257,5.0916877987561936e-08,Other,5.6622934,1.4936301909657784e-08
TDG,0.9605593,1.397130213671698e-05,Other,4.5350003,5.760345336610126e-06
HID1,0.95778894,9.63972419668389e-10,Other,6.3351526,2.3710611935391834e-10
DUOX1,0.9564209,3.3237218535253413e-06,Other,4.845466,1.2631483253821106e-06
TNFRSF19,-0.95354885,0.0168977892481937,Other,-2.5493922,0.0107910896253982
ILF2,0.95219123,1.7391275480232293e-15,Other,8.193277,2.542071516767825e-16
EIF1AX,0.9489492,2.761114442177236e-07,Other,5.347157,8.934654596158194e-08
CRACR2B,0.94401956,3.315710028980959e-09,Other,6.1323886,8.656944531311174e-10
MFAP2,0.94291925,4.227661699245488e-09,Other,6.091176,1.120841760989479e-09
KRT16,0.94156224,0.0376194585476283,Other,2.239201,0.0251428437672153
GALNT16,-0.938216,0.0154019093445654,Other,-2.583461,0.0097814545232623
