gene,scores,avg_logFC,p_val,p_val_adj
TFF3,-5.951329,-2.0001915,2.6597371204572098e-09,9.629413224429023e-09
PPM1H,5.946109,1.1322898,2.745915995075403e-09,9.905267880417453e-09
IRS1,-5.9452844,-1.340278,2.7597694432477574e-09,9.91917133225281e-09
EIPR1,5.9334702,1.2568198,2.9659747967856784e-09,1.0621830319174705e-08
PRKDC,5.9287996,0.72523654,3.051570800733098e-09,1.0889058396860551e-08
TOMM34,5.920832,1.2514474,3.2031700303063386e-09,1.138635754888884e-08
ANLN,5.9202824,1.728335,3.213891243637979e-09,1.138635754888884e-08
KLHDC9,5.8752236,1.084154,4.2227270874278695e-09,1.4907278543517605e-08
ANGPTL4,-5.8458257,-1.8737366,5.040619083920323e-09,1.7731539472514042e-08
BCAS3,5.8370337,1.1034546,5.313836575962984e-09,1.8626593227403817e-08
EIF4A3,5.8131304,0.8790187,6.131521369134778e-09,2.141714506402007e-08
NDC80,5.793898,2.418171,6.877118358215183e-09,2.3937197934559513e-08
SRD5A3,5.785381,1.0484209,7.2348196415104025e-09,2.5094199595728387e-08
ADAMTS1,-5.762302,-0.97781,8.297433722412397e-09,2.8679631542275602e-08
FRAS1,5.749664,1.0701613,8.942118674949272e-09,3.0800630991491935e-08
MTFR1,5.731805,1.0169259,9.93675037256537e-09,3.410815352797525e-08
LRRC75B,5.724112,1.1090615,1.039761506594894e-08,3.556701429455637e-08
MCCC2,5.6622934,0.96309257,1.4936301909657784e-08,5.0916877987561936e-08
ICA1,5.6416874,0.8698518,1.6839161266574465e-08,5.72070136179516e-08
HHAT,5.633445,1.0640337,1.7664491779197744e-08,5.980606090431455e-08
SAPCD2,5.6175094,1.0621507,1.9372948549045146e-08,6.53672277573224e-08
POLA2,5.6161356,1.2310319,1.9527521712563086e-08,6.566542894529689e-08
TGM2,-5.6073437,-1.0765474,2.054552443314723e-08,6.885527107325017e-08
PTGS2,-5.582891,-1.8757857,2.3655271984081455e-08,7.901020137444042e-08
LSM2,5.5815177,0.90238404,2.3842909737920547e-08,7.93696861074402e-08
THYN1,5.576572,0.9661452,2.453044149912998e-08,8.138527748206335e-08
SVBP,5.5639334,0.98612356,2.6376039939287696e-08,8.721677206591131e-08
BTG2,5.5625596,0.79757833,2.6584585813792873e-08,8.731057362700033e-08
COL4A5,5.5620103,0.9227424,2.6668451420343848e-08,8.731057362700033e-08
FZD3,5.5620103,1.1431615,2.6668451420343848e-08,8.731057362700033e-08
AQP5,-5.560911,-1.3350594,2.6836953527624025e-08,8.757321677435208e-08
CTXN1,5.5455256,0.8599495,2.9307277308535494e-08,9.532071832808922e-08
KRT80,5.5180507,1.5925082,3.4278084545113563e-08,1.1112372506128318e-07
UFC1,5.499093,0.64812064,3.817499883478386e-08,1.233537421632104e-07
