gene,scores,avg_logFC,p_val,p_val_adj
Dynlrb2,-0.7486974,-1.0584403,0.4540396203934638,0.567043537801941
Isyna1,-0.7531506,0.25430158,0.45135941886121345,0.5641153777737545
Mybpc1,-0.7531506,-0.7997691,0.45135941886121345,0.5641153777737545
Ngb,-0.7576038,-1.048582,0.448688191502955,0.56203043958008
Krt80,-0.77486,-0.0040236567,0.4384223643688884,0.5499910406747025
Tmem40,-0.7776433,-1.0953554,0.4367793235481171,0.5483390910264263
Islr,-0.77931327,-0.41997886,0.4357952038504552,0.5475125094713118
Mme,-0.78877634,0.06993332,0.4302427331072861,0.5409409381850022
Id2,-0.78988963,-0.23098777,0.4295922122407049,0.5405273269286115
Efhd2,-0.7999094,-0.14691077,0.4237632917457669,0.5339925737815848
Ccm2,-0.80491924,0.049052324,0.4208662675982816,0.5319369893479032
Bmp4,-0.8143824,-0.82648176,0.4154259411436261,0.525851661944605
Ctxn3,-0.8333085,-2.0896242,0.4046707417876305,0.5130101937745151
Pde1c,-0.8383184,0.14758569,0.40185189908527696,0.509821164047057
Atp6ap1l,-0.842215,0.13652223,0.3996676324488071,0.5074329986000338
Sphk1,-0.8466682,-0.31521967,0.39718009127978526,0.5050376198497117
Sv2c,-0.8483381,0.22845598,0.39624967606701433,0.504617958688372
Ramp2,-0.8488948,0.13647306,0.39593983033239644,0.504605651848945
Pthlh,-0.85780126,-0.3538147,0.39100222417004615,0.4986910006296264
Naaa,-0.8628111,0.14502428,0.38824132840983105,0.4955456894889339
B3gnt2,-0.8655944,0.16977441,0.3867126419076925,0.4939695676647653
Gjc3,-0.867821,0.15559673,0.3854923410403974,0.4927852663793978
Otof,-0.8717176,-0.6773615,0.38336248383482885,0.49043556721944237
Bcl6,-0.8767274,0.15389104,0.380634709307364,0.4873167908192528
Slc13a4,-0.8889738,-1.2233306,0.3740171757994655,0.4795929130274926
Ecrg4,-0.8989935,-0.910084,0.36865611550110755,0.47378511479920626
Sulf2,-0.8989935,-0.1319603,0.36865611550110755,0.47378511479920626
Nos1,-0.90010685,-0.4203276,0.3680634077595337,0.4737477706307628
Pcsk9,-0.9079,-2.134565,0.36393108343753866,0.4695074069520357
Tnfaip6,-0.942969,0.08848209,0.345696734985282,0.4470124703925069
Rem2,-0.9457523,-0.23827359,0.3442749351438479,0.44585991215470594
Ppp1r2,-0.9813781,-0.19163384,0.326406342018974,0.4243534887346445
Gpr17,-0.997521,0.10702118,0.318511697193668,0.41441034286575534
Arhgef10,-0.997521,0.1532403,0.318511697193668,0.41441034286575534
Six3,-1.0058708,-0.6389536,0.3144777427941611,0.41011410832970113
Agt,-1.0114373,-1.0192832,0.3118071836234886,0.4069471084402828
Dlx2,-1.0131073,-0.84477246,0.31100893968786714,0.4062206896777814
Ackr1,-1.0281368,0.370262,0.3038854565758893,0.39784381036142513
Slc47a1,-1.0286936,-3.1811593,0.3036237220790612,0.397810971796494
Hhip,-1.0414965,-0.4526363,0.29764517188261286,0.3905866775446309
Aspa,-1.0637625,0.0185862,0.28743625620566193,0.3780753886398417
Adarb2,-1.0687724,-1.7875851,0.28517220513167874,0.37568532666642
Tmem255a,-1.0732257,-0.23936382,0.2831698653742214,0.37334003426985585
Dlx6,-1.0782355,-0.29252723,0.2809286444336043,0.3709670473628349
Tmem132e,-1.099945,-0.10279009,0.27135608409350853,0.3591728955599904
Lhfpl5,-1.1005017,-4.0531974,0.271113607829897,0.3591347318849936
Kcna5,-1.1055115,-0.7822592,0.2689380017936832,0.3565337389709633
Myoc,-1.1082948,-1.5426003,0.26773452473682535,0.3552184183761669
Mog,-1.1205411,-0.038146324,0.2624832308799542,0.3488018269637968
Arsg,-1.1205411,0.06916995,0.2624832308799542,0.3488018269637968
Btg2,-1.1294476,-0.15427409,0.25870907150285294,0.344330917811794
Scara3,-1.1327875,-0.09826913,0.2573035050502902,0.34273153089503794
Fa2h,-1.141694,-0.005178685,0.2535812647985445,0.33857832098995494
Brinp3,-1.1673,-0.25107244,0.24308926402377262,0.32482754596499347
Ppp1r14a,-1.1711965,0.08956514,0.24151980041231513,0.32298709983540314
Pde1b,-1.1778764,-0.22896762,0.23884591215636697,0.31966558784622046
Tppp3,-1.1851128,0.05430664,0.2359728461878674,0.31661913753503185
Nacc2,-1.1873394,0.056871947,0.23509376456174302,0.316154094582632
Hspa1a,-1.2045957,0.5203736,0.22835943940142767,0.30734364902626093
Aldh3b2,-1.2173986,-4.406577,0.22345257761234305,0.3012219590748586
Plekhh1,-1.2585909,-0.05488252,0.2081781285948242,0.28108227644007994
Osbpl8,-1.2585909,-0.09137861,0.2081781285948242,0.28108227644007994
Lrrc38,-1.2619308,-1.7206835,0.20697367593966853,0.2801310380471681
Cdc42ep2,-1.2647141,0.08033953,0.2059738354151388,0.27900243137215824
Tbc1d8,-1.2686107,0.05663222,0.2045799599492062,0.2773378328021094
Aqp4,-1.2719506,0.09740248,0.20339068056874043,0.2761710291082817
Th,-1.2942166,-2.7052858,0.19559059077750662,0.2660095332499908
