gene,scores,avg_logFC,p_val,p_val_adj
CAMP,-0.7006718,-0.85784215,0.4835078568401323,0.9934699050120472
IL1R1,-0.7010795,-0.39460596,0.4832534114830064,0.9934699050120472
RARB,-0.7012154,-0.8452983,0.48316861252174326,0.9934699050120472
XBP1,-0.7016231,-0.3320697,0.48291426412243654,0.9934699050120472
ADGRL4,-0.701759,-1.6419244,0.48282949748681303,0.9934699050120472
HBA1,-0.701759,-0.5506406,0.48282949748681303,0.9934699050120472
CCL20,-0.7027102,-0.8092137,0.4822363574170322,0.9934699050120472
NR1H2,-0.7033897,-0.4296897,0.48181292859123137,0.9934699050120472
HAVCR2,-0.70637935,-0.37606075,0.4799522466760501,0.9934699050120472
HMGN2,-0.7085537,-0.719011,0.4786014884846522,0.9934699050120472
ITGA3,-0.7134459,-0.91201246,0.47556989016886464,0.9934699050120472
AHR,-0.71398944,-0.32721654,0.4752336972850847,0.9934699050120472
CCRL2,-0.71398944,-0.44826195,0.4752336972850847,0.9934699050120472
KDR,-0.7146689,-1.0114533,0.4748136396371495,0.9934699050120472
COL1A1,-0.71643555,-0.33753383,0.47372244437901323,0.9934699050120472
CDH5,-0.71738684,-0.89163184,0.4731354492867541,0.9934699050120472
NLRP3,-0.7179304,-0.7957472,0.47280020329343164,0.9934699050120472
PTGS1,-0.71928936,-0.42311665,0.4719626606849622,0.9934699050120472
APP,-0.7201047,-0.45515862,0.47146052784478,0.9934699050120472
SAA2,-0.72390974,-1.0597306,0.46912114096842095,0.9934699050120472
IL32,-0.72635585,-0.37154502,0.4676206464628301,0.9934699050120472
SNAI2,-0.7282584,-0.50870585,0.4664554364785002,0.9934699050120472
RARRES2,-0.7297532,-0.5398253,0.4655410460370062,0.9934699050120472
HSD17B2,-0.7324711,-0.63223565,0.4638810727480085,0.9934699050120472
TLR3,-0.7330147,-0.86556685,0.4635494740699525,0.9934699050120472
PTPRCAP,-0.73573256,-0.5706598,0.46189346307391754,0.9934699050120472
MYC,-0.73627615,-0.87615025,0.4615626576691534,0.9934699050120472
CLEC5A,-0.7380428,-1.3976275,0.4604884545123473,0.9934699050120472
RPL32,-0.73831457,-0.3305752,0.4603233166823073,0.9934699050120472
ITGB1,-0.73872226,-0.36189276,0.46007567206555866,0.9934699050120472
IFNAR1,-0.7422555,-0.38112703,0.4579325443944322,0.9934699050120472
LUM,-0.74687594,-0.57696337,0.4551384642203087,0.9934699050120472
BMP7,-0.7476913,-0.9227276,0.45464638967355686,0.9934699050120472
